MNI_Caudate_L_roi.mat,MNI_Caudate_R_roi.mat,MNI_Cingulum_Ant_L_roi.mat,MNI_Cingulum_Ant_R_roi.mat,MNI_Cingulum_Mid_L_roi.mat,MNI_Cingulum_Mid_R_roi.mat,MNI_Cingulum_Post_L_roi.mat,MNI_Cingulum_Post_R_roi.mat,MNI_Cuneus_L_roi.mat,MNI_Cuneus_R_roi.mat,MNI_Frontal_Inf_Oper_L_roi.mat,MNI_Frontal_Inf_Oper_R_roi.mat,MNI_Frontal_Inf_Orb_L_roi.mat,MNI_Frontal_Inf_Orb_R_roi.mat,MNI_Frontal_Inf_Tri_L_roi.mat,MNI_Frontal_Inf_Tri_R_roi.mat,MNI_Frontal_Med_Orb_L_roi.mat,MNI_Frontal_Med_Orb_R_roi.mat,MNI_Frontal_Mid_L_roi.mat,MNI_Frontal_Mid_R_roi.mat,MNI_Frontal_Mid_Orb_L_roi.mat,MNI_Frontal_Mid_Orb_R_roi.mat,MNI_Frontal_Sup_L_roi.mat,MNI_Frontal_Sup_R_roi.mat,MNI_Frontal_Sup_Medial_L_roi.mat,MNI_Frontal_Sup_Medial_R_roi.mat,MNI_Frontal_Sup_Orb_L_roi.mat,MNI_Frontal_Sup_Orb_R_roi.mat,MNI_Insula_L_roi.mat,MNI_Insula_R_roi.mat,MNI_Precuneus_L_roi.mat,MNI_Precuneus_R_roi.mat,MNI_Putamen_L_roi.mat,MNI_Putamen_R_roi.mat,MNI_Temporal_Inf_L_roi.mat,MNI_Temporal_Inf_R_roi.mat,MNI_Temporal_Mid_L_roi.mat,MNI_Temporal_Mid_R_roi.mat,MNI_Temporal_Pole_Mid_L_roi.mat,MNI_Temporal_Pole_Mid_R_roi.mat,MNI_Temporal_Pole_Sup_L_roi.mat,MNI_Temporal_Pole_Sup_R_roi.mat,MNI_Temporal_Sup_L_roi.mat,MNI_Temporal_Sup_R_roi.mat,MNI_Occipital_Inf_L_roi.mat,MNI_Occipital_Inf_R_roi.mat
0.1625337,0.1484993,0.1818319,0.1695834,-0.01284824,0.01314916,0.07718168,0.1038329,-0.04185097,-0.07765912,0.08209598,0.03386787,0.1009674,0.1502371,0.1326185,0.07771622,0.1175157,0.1136975,0.1327913,0.09468845,0.05357844,0.137897,0.1116111,0.1155718,0.2215738,0.1420982,0.0999709,0.001543847,0.07343997,0.0135673,-0.07496432,-0.0697873,0.08027956,0.07916779,-0.004244988,-0.04512124,0.06210681,-0.06070205,0.2410659,0.1949031,0.08780439,0.08435361,-0.03262292,-0.05447232,-0.03154994,0.043295
0.03091335,-0.03901283,0.2048033,0.2505866,0.001684777,0.05099556,-0.01375924,-0.0168118,-0.167173,-0.216591,0.06400231,-0.01744828,-0.08353158,0.06735603,0.02460122,-0.1163629,-0.2136683,-0.3322897,0.1335553,0.07613977,-0.1792833,-0.2348604,0.08261457,0.1666322,0.107495,0.2537468,0.007282485,-0.4097568,0.1373117,0.06412382,-0.2030292,-0.1741617,0.1207026,0.09647607,-0.2004206,-0.2095499,-0.0292732,-0.1586145,0.04734934,0.2640778,-0.2237817,0.1268573,0.01502811,-0.1271013,0.1129927,0.1599033
0.1187768,0.1014696,0.07461488,0.07691343,0.07663603,0.09314374,0.1310517,0.0983142,-0.0255845,-0.06132333,0.1488495,0.09756991,0.206553,0.1058059,0.1125503,0.04322193,0.01356107,0.05934792,0.1596927,0.09225919,0.1746401,0.09747068,0.0898103,0.07513158,0.043812,0.02454078,0.1789483,0.1898661,0.1719117,0.1413401,-0.01469239,0.007333252,0.08755501,0.06671361,0.09039019,0.07377272,0.04717766,0.03811972,0.4352058,0.2852509,0.2833317,0.07028871,0.1424139,0.07918313,-0.2153481,-0.1423984
-0.09249392,-0.07975743,0.09574674,0.09250748,0.04774017,0.07971784,0.2072643,0.1106843,0.1657469,0.1467429,-0.2840213,-0.245832,0.001783151,-0.08713377,-0.1028613,-0.190356,0.02978121,0.07634863,0.06341142,0.01612262,0.05410855,0.03594954,0.07213875,0.06728021,0.1849925,0.0907587,-0.1518036,-0.05637043,-0.08192096,-0.06213646,0.0833291,0.118475,-0.09397154,-0.04105066,0.01955875,0.1364197,0.0487068,0.04459883,-0.05629152,-0.04950795,-0.08214808,-0.102047,-0.04946329,-0.05568386,0.0656043,0.15223
-0.3262983,-0.2541416,-0.2106417,-0.125036,-0.04872462,-0.008442147,0.1736265,0.3105519,0.07465387,0.1479602,-0.2005986,-0.3655261,-0.01708603,-0.01018351,-0.06553084,-0.3337916,-0.2992369,-0.2315461,0.1249602,-0.1056183,-0.1097075,-0.213982,0.09214378,-0.1029222,0.04156729,-0.02311645,0.2494155,0.02458173,-0.2745253,-0.4197047,0.1035572,0.1375925,-0.04808334,-0.1381641,-0.2385966,-0.2846796,0.001899415,-0.3126933,-0.4428431,-0.4047849,-0.5223002,-0.3341888,-0.2802061,-0.3880786,0.226215,0.1836758
0.06495587,0.05795523,0.1914415,0.1683333,0.09030965,0.0625123,0.1090191,0.04201198,0.009911453,0.009290662,0.08620901,0.0388421,0.2948932,0.2379925,0.1636591,0.06086309,0.226637,0.1673472,0.2180878,0.132913,0.3107982,0.1534249,0.1509331,0.1273799,0.2144264,0.2094152,0.1582607,0.1444068,0.09934463,0.0391158,0.02275185,-0.01102891,0.1196294,0.1270929,0.1063937,0.05220344,0.07969151,0.01262364,0.3139638,0.2204515,0.3335134,0.1538773,0.09984613,0.04114979,-0.009785231,0.004675894
-0.1201845,-0.1626579,-0.146008,-0.1200142,-0.04018227,-0.09576994,-0.1252406,-0.2185239,-0.01127098,0.01126069,-0.1180443,0.01837251,-0.1328232,0.00372586,-0.04163151,-0.05228026,-0.2458783,-0.2251106,-0.1043406,-0.02685791,0.01294799,0.1987866,-0.1915012,-0.09553533,-0.1661283,-0.1420616,-0.07544926,0.04412126,-0.1061394,-0.1034643,0.04869241,0.01984884,-0.09312181,-0.1146356,0.06118513,0.07233023,-0.05662403,-0.06889794,-0.1651467,-0.1025485,-0.2130688,-0.04742637,-0.008631635,-0.03379557,0.122531,0.1918938
0.2450471,0.2306779,0.3537797,0.3441269,0.05532078,0.1196164,-0.3038755,-0.2982916,-0.4176315,-0.2822649,0.1443793,0.1545929,0.294344,0.2797038,0.2036903,0.08273087,-0.03001164,0.04349732,0.2746629,0.2255798,0.1962465,0.2163798,0.2353093,0.2237705,0.2634501,0.2222361,0.2316048,0.251139,0.2866822,0.2340975,-0.2798423,-0.199737,0.2525924,0.1989588,-0.1379316,-0.1048001,-0.1392856,-0.19173,0.4328355,0.4020092,0.2342015,0.3924082,0.04396104,-0.0567557,-0.198392,-0.09801033
-0.2228548,-0.188035,-0.3018552,-0.2132678,-0.1378676,-0.1392807,-0.04357078,-0.1389962,-0.08207952,0.01255851,-0.283451,-0.1934139,-0.1815373,-0.3214205,-0.2225499,-0.1632118,-0.08015798,-0.09826766,-0.1160266,-0.06974199,0.1103627,0.1171527,-0.06686124,-0.06735515,-0.03555168,-0.0571559,-0.05608825,0.06670786,-0.295388,-0.2820445,-0.01908268,-0.02272491,-0.2306335,-0.293569,0.01240995,0.1035846,0.00452919,0.02237166,-0.2151784,-0.4112739,-0.3519846,-0.3912878,-0.1837421,-0.0877313,0.102678,0.1510586
-0.01807838,-0.1293672,-0.0364747,-0.05709797,0.07892753,0.0662046,-0.009991386,-0.0769679,-0.3975554,-0.4688828,-0.1578973,-0.1183567,-0.07113409,0.07035015,-0.1932007,-0.2272016,-0.1712141,-0.0397061,-0.1690428,-0.2675302,-0.1656918,0.03674644,-0.004436837,-0.1078829,-0.2232023,-0.3053528,-0.1172832,-0.07068145,0.02593016,0.1774577,-0.1172368,-0.1567675,0.003667822,0.1844975,-0.2541028,-0.06727323,-0.1638462,-0.1506987,-0.04245428,0.3246181,-0.09004164,0.2444706,-0.05422964,-0.1036306,0.06121267,-0.09527272
