acc_pFgA_z_FDR_0_roi.mat,amygdala_pFgA_z_FDR_0_roi.mat,anterior insula_pFgA_z_FDR_0_roi.mat,anterior prefrontal_pFgA_z_FDR_0_roi.mat,caudate_pFgA_z_FDR_0_roi.mat,dacc_pFgA_z_FDR_0_roi.mat,dlpfc_pFgA_z_FDR_0_roi.mat,dmpfc_pFgA_z_FDR_0_roi.mat,medial orbitofrontal_pFgA_z_FDR_0_roi.mat,mpfc_pFgA_z_FDR_0_roi.mat,nucleus accumbens_pFgA_z_FDR_0_roi.mat,orbitofrontal cortex_pFgA_z_FDR_0_roi.mat,precuneus_pFgA_z_FDR_0_roi.mat,psts_pFgA_z_FDR_0_roi.mat,putamen_pFgA_z_FDR_0_roi.mat,striatum_pFgA_z_FDR_0_roi.mat,subgenual_pFgA_z_FDR_0_roi.mat,temporoparietal junction_pFgA_z_FDR_0_roi.mat,ventral striatum_pFgA_z_FDR_0_roi.mat,vlpfc_pFgA_z_FDR_0_roi.mat,vmpfc_pFgA_z_FDR_0_roi.mat
0.1732297,-0.09559151,-0.1151433,-0.057959,-0.01680558,0.03578347,-0.1171765,0.3274566,0.04145073,-0.3631549,-0.1595851,-0.2565717,-0.04588389,-0.1102652,0.07038579,-0.06694978,-0.0773624,-0.3352762,-0.04501974,-0.002733356,-0.07457589
-0.007944307,-0.08945182,-0.2134335,-0.2134241,-0.1427906,-0.3976743,-0.2420062,0.1431365,0.02933382,0.005646355,-0.1129088,-0.1071856,0.0688671,-0.04924197,-0.3822823,0.191198,-0.3577476,-0.4317013,0.183628,0.04176284,-0.05003534
0.4193834,0.1271419,0.1491408,-0.4248042,-0.02951113,0.249432,0.3121075,-0.5183567,-0.07900531,0.08524969,-0.4257643,0.04927721,-0.345532,0.2773028,0.07924188,0.6295109,0.04228032,-0.03834063,0.582025,0.430274,-0.3834907
0.249673,0.06430353,-0.1000258,0.05496381,0.1735759,0.167725,-0.1188946,0.2126622,0.02320192,-0.0677864,0.3925009,0.09593992,0.03703536,0.1389049,-0.04147815,0.04101284,0.1956318,0.6564988,0.07804229,0.1517847,0.1064548
0.0624879,0.01032376,-0.1942646,-0.007691519,-0.1877606,-0.07478549,0.01238231,-0.08850115,-0.06168541,-0.1300136,-0.1347996,-0.2112879,0.03316233,0.03997729,-0.01876947,0.1716096,0.005724412,-0.1770835,0.1583169,0.008823601,-0.2251948
-0.2337523,-0.02123783,-0.2557378,-0.04901452,0.1782634,-0.3357189,-0.5124278,-0.1235072,-0.06593482,-0.1841242,-0.2037991,0.2110456,-0.2728071,0.02887177,0.05746202,-0.2667415,-0.0392572,-0.07421965,-0.2147013,-0.1006117,0.02298615
0.3165118,0.1811197,0.000980753,-0.1210057,0.08820781,0.1285451,-0.03634055,0.7347538,-0.03895333,-0.05739236,-0.2087049,0.05251396,0.4409647,0.0158981,-0.01474822,0.1714033,0.1533259,-0.08662828,0.1348842,0.2300752,0.07476961
0.3351528,-0.03387593,0.09533467,-0.22075,-0.08031837,0.28209,-0.09484476,-0.4139587,-0.1583615,-0.001003223,-0.2886757,-0.02226058,-0.1600627,0.1548498,-0.05785131,0.333259,0.02033397,-0.08532443,0.3538152,0.07914357,-0.3251471
0.1600084,-0.000423344,0.01312023,-0.09565633,0.1723847,0.1302864,0.053116,0.9234363,0.4389783,0.08836021,0.2354184,0.1026236,0.4355599,0.1188981,0.005762855,-0.007689084,-0.04579731,0.2612695,0.005617793,0.0601681,-0.1719791
0.2724368,0.1505447,0.1151366,-0.3352849,0.03463821,0.1711051,-0.3670991,-0.2462565,-0.1162663,-0.09600529,-0.410616,-0.01349286,-0.2076324,0.2343534,0.3547553,0.1235679,-0.5779939,-0.06909243,0.1461677,-0.05197251,-0.09703631
